Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01/01/2020,85,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,28,25,85,19
01/02/2020,66,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,33,20,66,17
01/03/2020,77,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,28,77,20
01/04/2020,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,30,16,67,16
01/05/2020,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,17,64,17
01/06/2020,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,32,12,55,19
01/07/2020,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,10,24,24,75,16
01/08/2020,72,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,26,22,72,11
01/09/2020,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,33,8,49,15
01/10/2020,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,32,12,52,16
01/11/2020,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,33,10,52,16
01/12/2020,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,30,8,58,10
01/13/2020,32,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,32,6,32,7
01/14/2020,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,33,6,38,18
01/15/2020,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,32,14,55,17
01/16/2020,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,34,5,38,5
01/17/2020,33,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,33,9
01/18/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,7,53,9
01/19/2020,70,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,26,18,70,18
01/20/2020,75,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,26,22,75,16
01/21/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,7,53,12
01/22/2020,34,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,30,6,34,16
01/23/2020,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,26,15,58,14
01/24/2020,68,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,25,17,68,10
01/25/2020,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,26,19,70,8
01/26/2020,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,46,8
01/27/2020,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,31,7,46,9
01/28/2020,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,8,52,13
01/29/2020,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,31,10,52,13
01/30/2020,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,27,13,57,14
01/31/2020,73,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,33,19,73,19
02/01/2020,84,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,19,84,13
02/02/2020,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,35,10,51,11
02/03/2020,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,6,29,9
02/04/2020,37,Ozone,Paradise - Airport,06-007-0007,AQS,5,37,11,36,20
02/05/2020,67,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,34,23,67,21
02/06/2020,76,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,38,29,76,25
02/07/2020,79,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,42,26,79,22
02/08/2020,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,38,15,60,15
02/09/2020,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,6,24,13
02/10/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,6,39,16,33,23
02/11/2020,38,Ozone,Paradise - Airport,06-007-0007,AQS,7,38,13,34,20
02/12/2020,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,21,67,23
02/13/2020,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,46,23,75,20
02/14/2020,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,45,32,75,19
02/15/2020,89,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,43,24,89,14
02/16/2020,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,17,62,12
02/17/2020,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,22,34,4
02/18/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,40,20,53,20
02/19/2020,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,29,63,24
